CP Num,Title,System,Component,Item,Description,Solution
"0020","Security revoked - Remote Signon","NA-GBMS 3","ADMIN","SECURITY","CP0020 When Corporate is signing on to a location and they exceeded their attempts they will get the message ""SECURITY REVOKED"":","""1. Have the remote location assign a new temporary password
2. Have Corporate sign back on."""
"0030","Maxpeed Terminal Locked","NA-GBMS Hardware","THINCLIENT","MAXSPEED","CP0030 ""Maxpeed Terminal Locked.
Caps Lock and Num Lock keys are not responding.""","""Unplug the power cord from the maxpeed base.  Unplug the keyboard from the maxpeed base.
Plug the keyboard cable back into the maxpeed base.  Plug the power cord back into the maxpeed base.
(901 short code)"""
"0101","Apply Credit Balance lines","NA-GBMS 3","A/R","AR PAYMENTS","CP0101 Have a credit balance line on an A/R account.  How do I apply it.","""- From the Mastercheck or Cash/Check Receipt screen, press enter.  The cursor goes to the line # field.
- Type in the line number with the credit balance and press F2(pay by line).  This will bring the line to a zero balance and the amount will move to the App "".  Now find the line you want to pay with this amount and enter in the line number and pay amount."
"0103","Layaway Account - Final Payment","NA-GBMS 3","A/R","AR PAYMENTS","CP0103 Cust has a layaway account and has come in to make his final payment.  How do I bill the merchandise and clear the a/r account?","""This process takes 3 steps
Step 1
- From the A/R Menu, choose the A/R Payment option.
- Issue a cash/check receipt on the A/R account for the amount of the credit balance.  On the cash receipt screen enter a negative cash amount and a negative payment amount.  Press enter.  Will get message ""Correction has been processed"".
- Press F7 save/print

Step 2
- Pull up the account again on the A/R payment screen and press enter. The unapplied money will go to APP. Find the line we created on the last  transaction. will show inv 000000.  Enter the line# and F2 pay by line. Will clear the App Amt & the line to 0
- Press F7 save/print

Step 3
- Go to Point of Sale and issue a cash sale invoice.  Bill the customer for the merchandise.  On document total the amount that was in layaway should be entered into the cash field.  The remainder the customer owes should go into the appropriate field (cash or check)."""
"0104","CAS Warranty check","NA-GBMS 3","A/R","AR PAYMENTS","CP0104 Company Owned Outlet received a check from CAS warranty.  How do they apply the check.","""This happens when a company owned outlet performs warranty service work that was originally performed at an independent dealer.

Issue an A/R cash/check receipt for the amount of the check to account #59.  Goodyear will clear at end of month.  There will be no lines to apply this check to."""
"0105","CAS Warranty - write off","NA-GBMS 3","A/R","AR PAYMENTS","CP0105 Company Owned Outlet has an old invoice showing as an open item on Account 59, what can they do to clear the document.","""The location needs to contact CAS and verify the original document with them.
If CAS can not locate the information then the store can write off the amount of the document by issuing an A/R Journal Ticket.

- From the A/R Menu choose A/R Options.
- Type in Emp#, option for journal ticket, and acct# 59.  Press enter.
- Choose Normal A/R Journal Ticket.
- Type in the reason for issuance.
- Type a credit $$ amount.  (Code = 100)
  Press enter.
- Type in code 463 and enter a debit $$ amount for the offset.
- Press F7 to print.

The Journal Ticket balance will be zero and the AR Account balance will be reduced by the amount of the credit."""
"0106","COO - Transfer Payment","NA-GBMS 3","CASH RECEIPTS","TRANSFER PAY","CP0106 Customer making a payment and the account is at another company owned location.","""- From the GBMS Main Menu
- Choose Option 2 Cash Receipt
- Choose the option for Transfer Payment.
- The location must enter in a Tradestyle or name, address, city, state and zip, account #, Class Of Business, Terr# where the account is located, the am"""
"0107","A/R account deletion - Dealer","NA-GBMS 3","A/R","AR OPTIONS","CP0107 Dealer wants to delete an A/R account.","- From the A/R Main Menu choose A/R Options.
- From the A/R Options Menu enter your employee number and choose Administrative Option.
- From the Administrative Menu choose Account Deletion.
- Type in the account # you wish to delete.  The message """"Are you sure you want to delete account"".  Answer appropriately and will have you void again.
If the account has had any movement on it within the last 60 days, will NOT be able to delete the account till after that 60 days.
If the location is insistant on it not being an AR account, then they can go to AR OPT to ADM  and change the account from AR to cash as long as the account is at a 0 balance."
"0111","1 check pays 2 accounts","NA-GBMS 3","A/R","AR PAYMENTS","CP0111 Have a check that pays on two accounts.  What is the procedure.","""From A/R payments issue a cash/check receipt to the first account.
- Type in the check # in the """"check no"""" field.
-  Enter only the amount to be applied to this account in the Check amt & ""payment amt"""" fields and press enter.
- Apply the money to the correct line.
- Print the cash receipt.  F7

From the A/R Payments screen issue a cash/check receipt to the second account.
- Enter in the same check number and the amount to be applied to this account in the check amount and """"payment amt"""" fields.  Press enter.
- Apply the money to the correct line.
- Print the cash receipt."" F7

The two check amounts should = the one check amount that was received."
"0112","Direct Deposit Payment","NA-GBMS 3","A/R","AR PAYMENTS","CP0112 Received a direct deposit payment to the bank from the credit card company and need to apply it to the A/R account.","""From the A/R Payment Menu choose Direct Deposit.
- Enter in the account number
- Enter the credit card type
- Enter in the NET amount of the check in the """"Direct Amt"""" field and press enter.
- Apply the money to the appropriate lines.
- There is a collection fee on the statement they receive.  After applying the check 1 line should still have a balance of the amount of the collection fee.
- Enter in the line number,  the collection fee in the """"adj amt"""" field and an  ""A""  in the """"Code"""" field and press enter. The """"A""""  $ amount will go to account code 34400.
- Print the receipt."""
"0113","ROC Issue Check","NA-GBMS 3","A/R","AR OPTIONS","CP0113 Customer would like a refund for an overpayment","""ROC Issue Check
If the a/r account has a credit balance:
- From the A/R Menu choose A/R Options.
- From A/R Options choose A/R Journal Ticket.
- From the A/R Journal Ticket Menu choose """"ROC Issue Check"""".
- Enter in the Account number and press enter.
- Press F7 to print.

If the A/R account does not have a credit balance and just need to credit back a portion of the unapplied:
- From the A/R Menu choose A/R Options.
- From A/R Options choose A/R Journal Ticket.
- From the A/R Journal Ticket Menu choose """"Normal A/R JT"""".
- Enter in the Account number, reason for issuance and the amount to be debited(positive amt) to the account.  Press enter.
- Enter code 205 (ROC Issue Check) and credit the amount.  Press enter.
- Should have a debit and credit side
- Press F7 to print."
"0114","Payoff A/R Acct with Credit Card-ASC","NA-GBMS 3","A/R","AR PAYMENT","CP0114 Company Owned location customer wants to payoff their A/R account with a credit card.","Company Owned locations are not allowed to payoff A/R accounts with a credit card per Retail Stores."
"0115","Payoff A/R Acct with Credit Card-Dealer","NA-GBMS 3","A/R","AR PAYMENT","CP0115 Dealer has a customer that wants to payoff their A/R Account with a credit card.","""We have pursued this with all Major Credit Card Companies (Mastercard, VISA, Discover, Diners Club, American Express, Goodyear and Carte Blanche) and they prohibit transferring debit balances to their Bank Card.  We are not to give Dealers instructions for these major cards.
However, if the Dealer has a local credit card company and they give them the approval to transfer a balance from their books to the Credit Card Company, they can use these steps:
Step 1
- Issue a credit invoice to the A/R Acct for the amount of the payment.
- Use code 017 (gasoline) with a description of """"Credit Card Payment"""".
- in the reason field, reference your credit card charge invoice#.

Step 2
- Issue an invoice to the credit card account for the payment amount.
- Use code 017 with a description of """"Credit Card Payment"""".
- Be sure to write the credit memo document number on the invoice."""
